Deudor;Población;Frecuencia de visita;Desde centro;Oficina de ventas;Denominación Gr#Clientes 5;Denominación Gr#Clientes 4
3002391;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002394;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002405;DUITAMA;2;6038;Bogota;CAD. REGIONALES;ORO
3002417;MADRID;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002440;VILLAVICENCIO;5;6038;Bogota;MAYORISTAS;BRONCE
3002458;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002469;ESPINAL;5;6038;Bogota;MAYORISTAS;BRONCE
3002471;FACATATIVÁ;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002483;BOGOTÁ D.C.;2;6038;Bogota;MAYORISTAS;SEGMENTO 1
3002490;GUAMO;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002493;TUNJA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002498;ACACÍAS;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002500;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002504;ESPINAL;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002518;TUNJA;5;6038;Bogota;CAD. REGIONALES;ORO
3002526;PAIPA;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002527;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;PLATA
3002529;SOGAMOSO;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002574;SAN MARTÍN DE LOS LLANOS;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002585;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002594;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002605;YOPAL;2;6038;Bogota;DI MULTIEMPRESA;ORO
3002634;ANAPOIMA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002648;FACATATIVÁ;5;6038;Bogota;MODERNO;ORO
3002664;SOGAMOSO;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002669;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002672;NEIVA;5;6038;Bogota;MAYORISTAS;PLATA
3002690;PITALITO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002699;GARZÓN;5;6038;Bogota;MAYORISTAS;SEGMENTO 1
3002735;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002741;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002748;VILLAVICENCIO;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3002775;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002830;ESPINAL;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3002909;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3002941;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;BRONCE
3002985;GIGANTE;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003062;IBAGUÉ;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003063;ESPINAL;5;6038;Bogota;MAYORISTAS;BRONCE
3003080;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SEGMENTO 1
3003085;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003086;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003091;NEIVA;5;6038;Bogota;MAYORISTAS;SEGMENTO 1
3003102;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003106;MADRID;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003114;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003129;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003162;BOGOTÁ D.C.;5;6038;Bogota;MAYORISTAS;BRONCE
3003213;SAN MARTÍN DE LOS LLANOS;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003247;SAN MARTÍN DE LOS LLANOS;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003258;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003309;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003318;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003328;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003360;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
3003410;VILLAVICENCIO;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003418;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003419;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003437;TABIO;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003451;FLORENCIA;5;6038;Bogota;MAYORISTAS;BRONCE
3003463;FLORENCIA;5;6038;Bogota;MAYORISTAS;BRONCE
3003470;IBAGUÉ;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003506;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003576;VILLANUEVA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003579;IBAGUÉ;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003601;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003606;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003642;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003644;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003668;MADRID;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003744;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003768;SOPÓ;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003771;NEIVA;5;6038;Bogota;MAYORISTAS;BRONCE
3003837;PARATEBUENO;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003843;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SEGMENTO 1
3003939;MOSQUERA;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003942;LA PLATA;5;6038;Bogota;MAYORISTAS;PLATA
3003948;LA PLATA;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003958;AGUA DE DIOS;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3003988;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3003989;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3003996;ESPINAL;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004074;BOGOTÁ D.C.;2;6038;Bogota;MODELO TAT;ORO
3004101;LA DORADA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004141;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004158;SAN SEBASTIÁN DE MARIQUIT;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004160;GUADUAS;5;6038;Bogota;MAYORISTAS;SEGMENTO 1
3004161;VILLETA;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004170;GUADUAS;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004174;GUADUAS;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004213;ARMERO (GUAYABAL);5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004217;LA VEGA;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004222;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SUPERETE
3004234;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004250;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004257;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004273;BOGOTÁ D.C.;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004289;SAN FRANCISCO;5;6038;Bogota;SUP. INDEPENDIENTE;MINIMERCADO
3004299;LA DORADA;5;6038;Bogota;SUP. INDEPENDIENTE;SI GOLD
3004305;BOGOTÁ D.C.;5;6038;Bogota;CAD. REGIONALES;ORO
