Mes,Cliente,CodProducto,compro,compro_mes_ant,veces_comprado,mes_idx,freq_compra,Mes_ant,ventas_cliente_ant,productos_ant,target,Frecuencia de visita,oficina_enc,seg5_enc,seg4_enc,producto_enc,prob_compra,ranking,Oficina de ventas,Denominación Gr#Clientes 4,Denominación Gr#Clientes 5
202605,3001406,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,5,0.10029588142906708,1,Bogota,ORO,CAD. REGIONALES
202605,3001406,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,6,0.10029588142906708,2,Bogota,ORO,CAD. REGIONALES
202605,3001406,M511,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,4,0.0992329929556561,3,Bogota,ORO,CAD. REGIONALES
202605,3001408,M1111,0,1,1.0,5,0.2,202604.0,2418856.98,3.0,0,3,2,1,4,0,0.4479450775346414,1,Bogota,ORO,CAD. REGIONALES
202605,3001408,M1114,0,1,1.0,5,0.2,202604.0,2418856.98,3.0,0,3,2,1,4,1,0.3870252554762744,2,Bogota,ORO,CAD. REGIONALES
202605,3001408,M823,0,0,1.0,5,0.2,202604.0,2418856.98,3.0,0,3,2,1,4,5,0.38368146845907536,3,Bogota,ORO,CAD. REGIONALES
202605,3001425,M898,0,1,4.0,5,0.8,202604.0,158180.95,3.0,0,5,2,11,8,9,0.6834669182443104,1,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001425,M511,0,0,3.0,5,0.6,202604.0,158180.95,3.0,0,5,2,11,8,4,0.6666884085174417,2,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001425,M1111,0,0,0.0,5,0.0,202604.0,158180.95,3.0,0,5,2,11,8,0,0.047352257502026845,3,Bogota,SI GOLD,SUP. INDEPENDIENTE
202605,3001455,M511,0,1,4.0,5,0.8,202604.0,3155155.1999999997,3.0,0,5,2,9,4,4,0.8278825145620129,1,Bogota,ORO,MODERNO
202605,3001455,M898,0,0,0.0,5,0.0,202604.0,3155155.1999999997,3.0,0,5,2,9,4,9,0.1377801115070225,2,Bogota,ORO,MODERNO
202605,3001455,M823,0,0,0.0,5,0.0,202604.0,3155155.1999999997,3.0,0,5,2,9,4,5,0.08791109024073646,3,Bogota,ORO,MODERNO
202605,3001503,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,5,0.10029588142906708,1,Bogota,ORO,CAD. REGIONALES
202605,3001503,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,6,0.10029588142906708,2,Bogota,ORO,CAD. REGIONALES
202605,3001503,M511,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,5,2,1,4,4,0.0992329929556561,3,Bogota,ORO,CAD. REGIONALES
202605,3001563,M823,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,5,0.10510417897466022,1,Bogota,ORO,MODERNO
202605,3001563,M827,0,0,0.0,5,0.0,202604.0,0.0,0.0,0,2,2,9,4,6,0.10510417897466022,2,Bogota,ORO,MODERNO
