Cliente,CodProducto,prob_compra,compro
3001376,M899,0.047454845035701104,0
3001376,M973,0.3714322443983179,0
3001385,M1111,0.03336678676942704,0
3001385,M1114,0.032283981987541774,0
3001385,M500,0.3265156244404158,0
3001385,M509,0.6545388960795947,1
3001385,M511,0.08148889376662491,0
3001385,M823,0.6829424980875307,1
3001385,M827,0.37621729679763144,1
3001385,M866,0.024983920403870253,0
3001385,M872,0.016019965876363597,0
3001385,M898,0.2884763455985032,0
3001385,M899,0.013531021428173263,0
3001385,M973,0.013874141394381012,0
3001395,M1111,0.052977773609052016,0
3001395,M1114,0.052977773609052016,0
3001395,M500,0.17883570182085945,0
3001395,M509,0.18671070305111956,0
3001395,M511,0.13724194175801402,0
3001395,M823,0.44588959174487885,0
3001395,M827,0.4444500060925722,0
3001395,M866,0.030809256290328595,0
3001395,M872,0.019974992831477363,0
3001395,M898,0.045493720857535745,0
3001395,M899,0.019267406697932508,0
3001395,M973,0.01975307729717866,0
3001403,M1111,0.8977196298012287,1
3001403,M1114,0.8774438599925247,1
3001403,M500,0.06237205740784508,0
3001403,M509,0.06237098759359757,0
3001403,M511,0.9012331919337246,1
3001403,M823,0.08074829406346548,0
3001403,M827,0.08074829406346548,0
3001403,M866,0.05910744800424718,0
3001403,M872,0.045714313616281796,0
3001403,M898,0.10531176638318929,0
3001403,M899,0.04512455107253272,0
3001403,M973,0.04745452363725414,0
3001404,M1111,0.08911529605158051,0
3001404,M1114,0.07490224711516637,0
3001404,M500,0.09344984286881375,0
3001404,M509,0.09344829313030087,0
3001404,M511,0.0992329929556561,0
3001404,M823,0.10029588142906708,0
3001404,M827,0.10029588142906708,0
3001404,M866,0.054857019060703865,0
3001404,M872,0.03556589495501995,0
3001404,M898,0.08775703349752079,0
3001404,M899,0.03206318880322543,0
3001404,M973,0.03286059361670661,0
3001405,M1111,0.08911529605158051,0
3001405,M1114,0.07490224711516637,0
3001405,M500,0.09344984286881375,0
3001405,M509,0.09344829313030087,0
3001405,M511,0.0992329929556561,0
3001405,M823,0.10029588142906708,0
3001405,M827,0.10029588142906708,0
3001405,M866,0.054857019060703865,0
3001405,M872,0.03556589495501995,0
3001405,M898,0.08775703349752079,0
3001405,M899,0.03206318880322543,0
3001405,M973,0.03286059361670661,0
3001406,M1111,0.08911529605158051,0
3001406,M1114,0.07490224711516637,0
3001406,M500,0.09344984286881375,0
3001406,M509,0.09344829313030087,0
3001406,M511,0.0992329929556561,0
3001406,M823,0.10029588142906708,0
3001406,M827,0.10029588142906708,0
3001406,M866,0.054857019060703865,0
3001406,M872,0.03556589495501995,0
3001406,M898,0.08775703349752079,0
3001406,M899,0.03206318880322543,0
3001406,M973,0.03286059361670661,0
3001408,M1111,0.4479450775346414,0
3001408,M1114,0.3870252554762744,0
3001408,M500,0.2927993742523596,0
3001408,M509,0.30179120909611573,1
3001408,M511,0.8325644019744672,1
3001408,M823,0.38368146845907536,0
3001408,M827,0.08720143300184212,0
3001408,M866,0.06666579047829345,0
3001408,M872,0.04872685303080012,0
3001408,M898,0.6173511118153383,1
3001408,M899,0.04930637643995958,0
3001408,M973,0.051840551766779645,0
3001425,M1111,0.047352257502026845,0
3001425,M1114,0.045343346574858806,0
3001425,M500,0.46506415922631866,1
3001425,M509,0.6657981388212411,1
3001425,M511,0.6666884085174417,0
3001425,M823,0.7044880274624544,1
3001425,M827,0.4353047146542557,1
3001425,M866,0.023775788261129353,0
3001425,M872,0.015375648410971162,0
3001425,M898,0.6834669182443104,0
3001425,M899,0.01612415184630768,0
3001425,M973,0.016531926480461524,0
3001455,M1111,0.8329403989921337,1
3001455,M1114,0.05268779904397944,0
3001455,M500,0.7407747162889999,1
3001455,M509,0.06597392691861777,0
3001455,M511,0.8278825145620129,0
3001455,M823,0.08791109024073646,0
3001455,M827,0.08791109024073646,0
3001455,M866,0.07216644893166485,0
3001455,M872,0.05585492951702544,0
3001455,M898,0.1377801115070225,0
3001455,M899,0.06294543764384164,0
3001455,M973,0.06686054214265491,0
3001503,M1111,0.08911529605158051,0
3001503,M1114,0.07490224711516637,0
3001503,M500,0.09344984286881375,0
3001503,M509,0.09344829313030087,0
3001503,M511,0.0992329929556561,0
3001503,M823,0.10029588142906708,0
3001503,M827,0.10029588142906708,0
3001503,M866,0.054857019060703865,0
3001503,M872,0.03556589495501995,0
3001503,M898,0.08775703349752079,0
3001503,M899,0.03206318880322543,0
3001503,M973,0.03286059361670661,0
3001563,M1111,0.04617484492237264,0
3001563,M1114,0.04366814929053835,0
3001563,M500,0.09189576529809958,0
3001563,M509,0.09510339830916228,0
3001563,M511,0.08801685966260603,0
3001563,M823,0.10510417897466022,0
3001563,M827,0.10510417897466022,0
3001563,M866,0.05282808238132064,0
3001563,M872,0.034224621447450976,0
3001563,M898,0.08462020530977475,0
3001563,M899,0.03578311082925235,0
3001563,M973,0.03666952451897572,0
3001565,M1111,0.04617484492237264,0
3001565,M1114,0.04366814929053835,0
